obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
141,0.09877034,-1.0576645,-0.342048,0.27043468,0.0,0.11268796,0.0,0.0,0.0,0.0
142,0.51017123,-0.9958321,-0.016797792,-0.14328705,0.0,0.15442483,0.0,0.0,0.0,0.0
143,0.39531854,-1.0264453,-0.07790073,0.10994329,0.0,0.14623147,0.0,0.0,0.0,0.0
144,0.37328753,-0.9745711,0.044415347,-0.09920499,0.0,0.13403319,0.0,0.0,0.0,0.0
145,0.7482758,-0.97476614,-0.031886607,0.67878556,0.0,0.12023135,0.0,0.0,0.0,0.0
146,0.66434056,-0.7373981,0.315018,-0.16323426,0.0,0.19834632,0.0,0.0,0.0,0.0
147,0.8682397,-0.19617073,0.18348436,-0.00083108665,0.0,0.20398657,0.0,0.0,0.0,0.0
148,0.5669067,-0.010875989,-0.15225665,0.10216005,0.0,0.14428937,0.0,0.0,0.0,0.0
149,0.4305489,0.18502255,0.077180505,-0.32449794,0.0,0.22751234,0.0,0.0,0.0,0.0
150,0.38379303,0.19700438,0.4731989,0.016644891,0.0,0.28323266,0.0,0.0,0.0,0.0
151,1.0523988,0.54820716,0.15789835,-0.19508182,0.0,0.29932135,0.0,0.0,0.0,0.0
152,0.98888195,0.12570326,-0.18188062,0.2090229,0.0,0.193793,0.0,0.0,0.0,0.0
153,1.1442869,0.062006235,-0.14870854,0.9415656,0.0,0.25585636,0.0,0.0,0.0,0.0
154,0.7583118,1.0498902,-0.3653646,0.08688568,0.0,0.22027896,0.0,0.0,0.0,0.0
155,1.0429732,1.4035388,0.3289558,0.071958676,0.0,0.25523156,0.0,0.0,0.0,0.0
156,1.0172642,1.5358771,-0.06533828,0.5147442,0.0,0.28041598,0.0,0.0,0.0,0.0
157,0.60803306,1.4661771,-0.14710642,-0.21140201,0.0,0.21782264,0.0,0.0,0.0,0.0
158,0.6178311,1.464507,-0.34060076,0.11123911,0.0,0.263497,0.0,0.0,0.0,0.0
159,0.7053358,1.3083307,0.27841222,-0.05109408,0.0,0.29756764,0.0,0.0,0.0,0.0
