event_id,publish_date,disruption_type,location_entities,severity_score,predicted_label,predicted_probability
0932d553ba,2016-03-14,PORT_CONGESTION,UNKNOWN,9,1,0.9259
746c79a3d9,1458018266000,PORT_CONGESTION,"HK,VI",6,1,0.6245
5d38a7a271,2016-03-15,PORT_CONGESTION,SE,8,1,0.8609
58b03ef077,2016-03-15,PORT_CONGESTION,UNKNOWN,6,1,0.6981
edcc0a757a,2016-03-16,PORT_CONGESTION,UNKNOWN,6,1,0.6678
853c83e39c,2016-03-16,PORT_CONGESTION,UNKNOWN,5,1,0.5906
41e87962a4,2016-03-16,PORT_CONGESTION,VI,8,1,0.8475
d1f76960a3,1458164467000,PORT_CONGESTION,VI,5,1,0.5027
91effbb9b2,2016-03-17,PORT_CONGESTION,UNKNOWN,8,1,0.8376
f21bb6b81a,1458236696000,PORT_CONGESTION,VI,5,1,0.5127
b4e0e350e0,2016-03-21,PORT_CONGESTION,UNKNOWN,5,1,0.5342
b29c15b94b,2016-03-21,PORT_CONGESTION,VI,9,1,0.9188
a132bba626,2016-03-21,PORT_CONGESTION,UNKNOWN,7,1,0.7922
4cdc7c3a70,1458912512000,PORT_CONGESTION,"VI,US",7,1,0.7835
c87dd1649c,1458842967000,PORT_CONGESTION,"VI,GB",8,1,0.8418
ca2466d001,2016-03-28,PORT_CONGESTION,UNKNOWN,8,1,0.8482
3edbf3e464,1459260305000,PORT_CONGESTION,"DE,VI",5,1,0.4975
1de4f3aad1,1459260029000,PORT_CONGESTION,"VI,CN",6,1,0.6251
eb8096d47a,1459190215000,PORT_CONGESTION,UNKNOWN,8,1,0.8561
9fdd9313b4,2016-03-29,PORT_CONGESTION,CN,5,1,0.5155
05113793eb,2016-03-29,PORT_CONGESTION,UNKNOWN,6,1,0.6951
04837f7393,2016-03-29,PORT_CONGESTION,UNKNOWN,6,1,0.6337
02bb3cb8f9,1459457763000,PORT_CONGESTION,UNKNOWN,5,1,0.5581
98b9fb7fd5,1459531212000,PORT_CONGESTION,"RU,VI",8,1,0.8664
5def27f6f8,2016-04-04,PORT_CONGESTION,"VI,GB,GH",8,1,0.843
7e0a5705e7,2016-04-04,PORT_CONGESTION,BE,9,1,0.9313
94264b544f,2016-04-06,PORT_CONGESTION,UNKNOWN,8,1,0.8464
